国,クリック数,表示回数,CTR,掲載順位
ジンバブエ,0,140,0.00%,51.11
ウガンダ,0,129,0.00%,46.16
ニカラグア,0,125,0.00%,48.40
コートジボワール,0,119,0.00%,49.00
ザンビア,0,111,0.00%,48.40
ハイチ,0,108,0.00%,46.31
アンゴラ,0,104,0.00%,52.33
キルギス,0,102,0.00%,50.77
キューバ,0,91,0.00%,52.59
カメルーン,0,87,0.00%,51.11
モンテネグロ,0,79,0.00%,50.09
マルタ,0,77,0.00%,31.35
モーリタニア,0,77,0.00%,47.23
コンゴ民主共和国 - キンシャサ,0,76,0.00%,46.54
モルディブ,0,66,0.00%,46.00
トーゴ,0,66,0.00%,46.15
ソマリア,0,60,0.00%,46.97
ブルネイ,0,56,0.00%,41.39
ベニン,0,55,0.00%,54.20
ナミビア,0,54,0.00%,46.96
スリナム,0,51,0.00%,46.25
ガイアナ,0,50,0.00%,48.94
バルバドス,0,48,0.00%,50.58
アンティグア・バーブーダ,0,45,0.00%,49.36
レユニオン,0,43,0.00%,51.09
ルワンダ,0,39,0.00%,51.03
マリ,0,37,0.00%,49.05
バハマ,0,34,0.00%,43.29
ガボン,0,34,0.00%,48.88
スワジランド,0,29,0.00%,50.83
パプアニューギニア,0,27,0.00%,47.70
ベリーズ,0,25,0.00%,45.08
キュラソー,0,25,0.00%,52.52
グアダループ,0,23,0.00%,53.09
ガンビア,0,22,0.00%,44.45
カボベルデ,0,21,0.00%,38.43
タジキスタン,0,21,0.00%,39.71
セントルシア,0,21,0.00%,44.52
ブータン,0,18,0.00%,39.50
シェラレオネ,0,18,0.00%,47.67
ブルキナファソ,0,17,0.00%,37.71
ギニア,0,17,0.00%,42.76
マルチニーク,0,17,0.00%,48.35
アンドラ,0,16,0.00%,39.88
セイシェル,0,15,0.00%,46.73
コンゴ共和国 - ブラザビル,0,15,0.00%,52.07
ブルンジ,0,15,0.00%,53.33
ケイマン諸島,0,14,0.00%,40.14
レソト,0,13,0.00%,38.77
フランス領ポリネシア,0,12,0.00%,59.08
シント・マールテン,0,11,0.00%,54.09
西サハラ,0,11,0.00%,57.91
チャド,0,9,0.00%,58.00
セントクリストファー・ネイビス,0,8,0.00%,40.25
セントビンセント・グレナディーン,0,8,0.00%,41.25
リベリア,0,8,0.00%,42.00
ジャージー,0,8,0.00%,63.12
トルクメニスタン,0,7,0.00%,41.00
モナコ,0,6,0.00%,16.17
ミクロネシア,0,6,0.00%,37.83
フランス領ギニア,0,6,0.00%,59.83
バミューダ,0,5,0.00%,30.80
サンマリノ,0,5,0.00%,46.40
コモロ,0,5,0.00%,56.60
ギニアビサウ,0,5,0.00%,57.00
マイヨット島,0,4,0.00%,23.50
トンガ,0,4,0.00%,35.50
蘭領カリブ,0,4,0.00%,38.75
タークス・カイコス諸島,0,4,0.00%,64.50
サモア,0,3,0.00%,27.67
フェロー諸島,0,3,0.00%,48.00
オーランド諸島,0,3,0.00%,51.00
サントメ・プリンシペ,0,3,0.00%,51.00
アルバ,0,3,0.00%,57.67
北マリアナ諸島,0,2,0.00%,5.00
イギリス領インド洋地域,0,2,0.00%,14.00
ソロモン諸島,0,2,0.00%,15.50
ジブラルタル,0,2,0.00%,20.50
グリーンランド,0,2,0.00%,20.50
モントセラト島,0,2,0.00%,24.00
キリバス,0,2,0.00%,26.50
米領バージン諸島,0,2,0.00%,52.50
セント・マーチン島,0,1,0.00%,2.00
北朝鮮,0,1,0.00%,8.00
アンギラ,0,1,0.00%,21.00
サンピエール島・ミクロン島,0,1,0.00%,21.00
サン・バルテルミー島,0,1,0.00%,24.00
アメリカ領サモア,0,1,0.00%,37.00
クック諸島,0,1,0.00%,42.00
マン島,0,1,0.00%,98.00
